OTU,Average abundance South (Standardised and transformed),Average abundance North (Standardised and transformed),Contribution to variance (%)
Nitrosospira multiformis strain ATCC 25196-30,0.01,0.01,0.03
Chlorobium limicola strain DSM 245-30,0.01,0.01,0.03
Anaeromyxobacter sp. Fw109-5-30,0.01,0,0.03
Sulcia muelleri SMDSEM-01,0.02,0,0.03
Vibrio vulnificus str. YJ016-08,0.02,0.01,0.03
Shewanella sp. MR-1-30,0.02,0.02,0.03
Nitrosomonas eutropha strain C91-30,0.01,0.01,0.03
Shewanella sp. W3-18-1-08,0.01,0.01,0.03
Legionella longbeachae strain NSW150-30,0.01,0.01,0.03
Hirschia baltica strain ATCC 49814-30,0.01,0.01,0.03
Brucella ovis strain ATCC 25840-30,0.01,0,0.03
Francisella philomiragia subsp. philomiragia strain ATCC 25017-08,0.02,0.01,0.03
Rhodospirillum rubrum strain ATCC 11170-30,0.01,0.01,0.03
Shewanella sp. MR-7-30,0.02,0.01,0.03
Parvibaculum lavamentivorans strain DS-1-01,0.01,0.02,0.03
Prochlorococcus sp. MIT9312-30,0.01,0.01,0.03
Neisseria meningitidis strain 053442-30,0.01,0.01,0.03
Gluconobacter oxydans strain 621H-08,0.01,0.01,0.03
Xanthomonas sp. Py2-30,0.01,0,0.03
Nitrosospira multiformis strain ATCC 25196-01,0.01,0,0.03
Rhodospirillum centenum strain SW-30,0.02,0.01,0.03
Desulfotalea psychrophila LSv54-08,0.02,0.01,0.03
Dichelobacter nodosus str. VCS1703A-08,0.02,0.01,0.03
Burkholderia sp. 383-30,0.01,0,0.03
Pseudomonas putida strain F1-30,0.02,0.01,0.03
Shewanella sp. MR-4-30,0.01,0.01,0.03
Pelodictyon luteolum DSM 273-30,0.01,0,0.03
Rhodobacter sphaeroides strain 2.4.1-01,0.01,0.01,0.03
Sorangium cellulosum strain 'So ce 56'-30,0.02,0,0.03
Xanthomonas axonopodis pv. citri str. 306-30,0.01,0,0.03
Synechococcus sp. PCC6301-08,0.01,0.01,0.03
Maricaulis maris strain MCS10-08,0.02,0.02,0.03
Shewanella trabarsenatis-30,0.01,0.01,0.03
Bacteroides fragilis strain YCH46-30,0.01,0.01,0.03
Haemophilus influenzae strain PittEE-08,0.01,0,0.03
Neisseria meningitidis strain FAM18-30,0.01,0,0.03
Parabacteroides distasonis strain ATCC 8503-30,0.01,0.01,0.03
Aggregatibacter aphrophilus strain NJ8700-08,0.01,0,0.03
Azoarcus sp. EbN1-30,0.01,0.01,0.03
Mycobacterium vanbaalenii strain PYR-1-30,0.01,0,0.03
Vibrio cholerae serotype O1 biotype ElTor strain N16961-30,0.01,0.01,0.03
Burkholderia pseudomallei strain 1710b-30,0.01,0,0.03
Chitinophaga pinensis strain DSM 2588-30,0.03,0.02,0.03
Aggregatibacter actinomycetemcomitans strain D11S-1-30,0.01,0,0.03
Hirschia baltica strain ATCC 49814-08,0.03,0.02,0.03
Thermobaculum terrenum strain ATCC BAA-798-30,0.01,0,0.03
Exiguobacterium strain 255-15-30,0.01,0,0.03
Oligotropha carboxidovorans strain OM5-30,0.01,0,0.03
Acetobacter pasteurianus IFO 3283-01-08,0.01,0.01,0.03
Chloroflexus sp. Y-400-fl-30,0.01,0,0.03
Psychrobacter sp. PRwf-1-30,0.01,0.01,0.03
Rhodobacter sphaeroides strain ATCC 17029-01,0.01,0.01,0.03
Brucella ovis strain ATCC 25840-08,0.01,0.01,0.03
Shewanella baltica strain OS195-30,0.01,0.01,0.03
Shewanella baltica strain OS185-30,0,0.01,0.03
Thauera sp. MZ1T-08,0.02,0.01,0.03
Herminiimonas arsenicoxydans Muller et al. 2006-08,0.02,0.01,0.03
Corynebacterium nigricans CN-1-30,0.01,0,0.03
Yersinia pestis strain Pestoides F-30,0.01,0,0.03
Ochrobactrum anthropi strain ATCC 49188-30,0.01,0.01,0.03
Magnetococcus sp. MC-1-30,0.01,0.01,0.03
Verrucomicrobiales str. PB90-1-30,0.01,0.01,0.03
Rhizobium sp. NGR234-30,0.01,0.01,0.03
Burkholderia cenocepacia AU 1054-30,0.01,0,0.03
[Mesorhizobium] sp. BNC1-08,0.02,0.01,0.03
Campylobacter lari strain RM2100-30,0.01,0,0.03
Laribacter hongkongensis strain HLHK9-30,0.01,0.01,0.03
Methylovorus sp. SIP3-4-01,0.02,0.02,0.03
Agrobacterium vitis strain S4-08,0.02,0.01,0.03
Vibrio cholerae serotype O1 biotype ElTor strain N16961-08,0.01,0,0.03
Polynucleobacter sp. QLW-P1DMWA-1-30,0,0.01,0.03
Granulobacter bethesdensis CGDNIH1-30,0.01,0.01,0.03
Histophilus somni str. 2336-08,0.01,0,0.03
Xenorhabdus bovienii strain SS-2004-30,0.01,0.01,0.03
Azoarcus sp. EbN1-08,0.01,0,0.03
gas vacuolate str. 37-01,0.02,0.01,0.03
Thiomicrospira denitrificans ATCC 33889-30,0.01,0,0.03
Brucella sp. CCM 4915-30,0.01,0,0.03
Erwinia tasmaniensis strain Et1/99-30,0.01,0,0.03
Acinetobacter baumannii strain ACICU-08,0.01,0,0.02
Rhizobium radiobacter K84-08,0.02,0.01,0.02
Burkholderia mallei strain SAVP1-30,0.01,0,0.02
Ruegeria sp. PR1b-01,0,0.01,0.02
Laribacter hongkongensis strain HLHK9-08,0.02,0.01,0.02
Proteus mirabilis strain HI4320-08,0.01,0.01,0.02
Haemophilus influenzae strain 86-028NP-30,0.01,0,0.02
Synechococcus sp. OS-type A strain JA-3-3Ab-08,0.01,0.01,0.02
Granulobacter bethesdensis CGDNIH1-08,0.01,0.02,0.02
Yersinia pestis strain Angola-30,0.01,0,0.02
Alteromonas macleodii 'Deep ecotype'-01,0.02,0.01,0.02
Prochlorococcus marinus subsp. marinus str. SS120-08,0,0.01,0.02
Acinetobacter baumannii strain ATCC 17978-08,0.01,0.01,0.02
Bdellovibrio bacteriovorus strain HD100-30,0.01,0,0.02
Streptococcus suis strain SC84-30,0,0.01,0.02
Diaphorobacter sp. TPSY-30,0.01,0.01,0.02
Nitrobacter winogradskyi strain Nb-255-08,0.01,0.01,0.02
Gluconobacter oxydans strain 621H-30,0.01,0.01,0.02
Minibacterium massiliensis-30,0.01,0.01,0.02
Actinobacillus succinogenes strain 130Z-08,0.01,0,0.02
Acidothermus cellulolyticus strain 11B-30,0.01,0,0.02
Pseudoalteromonas haloplanktis strain TAC125-01,0.02,0.01,0.02
Mycoplasma genitalium strain G37-30,0,0.01,0.02
Klebsiella pneumoniae subsp. pneumoniae strain MGH 78578-30,0.01,0,0.02
Gloeobacter violaceus strain PCC 7421-30,0.01,0.01,0.02
Delftia acidovorans strain SPH-1-30,0.01,0,0.02
Chromobacterium violaceum str. ATCC 12472-08,0.01,0,0.02
Xenorhabdus bovienii strain SS-2004-08,0.01,0,0.02
Syntrophomonas wolfei subsp. wolfei strain Goettingen-30,0.01,0,0.02
Shewanella putrefaciens strain CN-32-08,0.01,0.01,0.02
Methylobacillus flagellatus strain KT-01,0.02,0.02,0.02
Agrobacterium vitis strain S4-30,0.01,0.01,0.02
Photorhabdus asymbiotica Fischer-Le Saux et al. 1999 emend. Akhurst et al. 2004-30,0.01,0.01,0.02
Buchnera aphidicola str. Sg (Schizaphis graminum)-08,0.01,0,0.02
Idiomarina loihiensis strain L2TR-01,0.01,0.01,0.02
Enterobacter sakazakii ATCC BAA-894-30,0.01,0.01,0.02
Beijerinckia indica subsp. indica strain ATCC 9039-30,0.01,0.01,0.02
Synechococcus sp. PCC 7425-08,0.01,0.01,0.02
Porphyromonas gingivalis strain W83-08,0.01,0,0.02
Eubacterium rectale strain ATCC 33656-30,0.01,0,0.02
Azoarcus sp. BH72-08,0.01,0.01,0.02
Neisseria gonorrhoeae strain NCCP11945-30,0.01,0.01,0.02
Caulobacter vibrioides CB15-08,0.01,0.01,0.02
Verminephrobacter eiseniae strain EF01-2-08,0.01,0,0.02
Rhizobium radiobacter K84-30,0.01,0.01,0.02
Citrobacter rodentium strain ICC168-30,0.01,0,0.02
Leptothrix cholodnii strain SP-6-30,0.01,0.01,0.02
Novosphingobium aromaticivorans strain DSM 12444-08,0.01,0.01,0.02
Paracoccus denitrificans PD1222-01,0.02,0.02,0.02
Coxiella burnetii strain Dugway 5J108-111-30,0,0.01,0.02
Rhizobium sp. ORS571-30,0.01,0.01,0.02
Brachyspira hyodysenteriae strain WA1-08,0.01,0,0.02
Pseudomonas sp. LB400-30,0.01,0.01,0.02
Caulobacter crescentus strain NA1000-08,0.01,0.01,0.02
Leptothrix cholodnii strain SP-6-08,0.01,0,0.02
Caulobacter sp. K31-30,0.01,0,0.02
Thauera sp. MZ1T-30,0.01,0,0.02
Shewanella baltica strain OS155-30,0,0.01,0.02
Polaromonas naphthalenivorans strain CJ2-08,0.01,0,0.02
Stenotrophomonas maltophilia strain K279a-30,0.01,0,0.02
Chromobacterium violaceum str. ATCC 12472-30,0.01,0.01,0.02
Prochlorococcus sp. MIT9211-08,0,0.01,0.02
Thioalkalivibrio sp. K90mix-01,0.01,0.01,0.02
Prochlorococcus sp. MED4-01,0,0.01,0.02
Methylocella sp. BL2-30,0.01,0,0.02
Rhodothermus marinus strain DSM 4252-30,0.01,0.01,0.02
Bacteroides vulgatus strain ATCC 8482-30,0.01,0.01,0.02
Azoarcus sp. BH72-30,0.01,0.01,0.02
Porphyromonas gingivalis strain ATCC 33277-08,0.01,0.01,0.02
Roseiflexus castenholzii strain DSM 13941-30,0.01,0,0.02
Bordetella petrii strain DSM 12804-30,0.01,0.01,0.02
Aggregatibacter aphrophilus strain NJ8700-30,0.01,0,0.02
Bartonella tribocorum strain CIP 105476-30,0.01,0,0.02
Chitinophaga pinensis strain DSM 2588-08,0.01,0.01,0.02
Bradyrhizobium japonicum str. USDA 110-30,0.01,0.01,0.02
Erythrobacter litoralis strain HTCC2594-08,0.03,0.03,0.02
Edwardsiella tarda strain EIB202-08,0.01,0.01,0.02
Sphingomonas wittichii strain RW1-30,0.01,0.01,0.02
Methylobacterium radiotolerans strain JCM 2831-30,0.01,0,0.02
Blattabacterium sp. Alboraia-01,0.01,0.01,0.02
Caulobacter crescentus strain NA1000-30,0,0.01,0.02
Prochlorococcus marinus str. NATL1A-30,0,0.01,0.02
Candidatus Sulcia muelleri strain GWSS-08,0.01,0,0.02
Prosthecochloris vibrioformis DSM 265-30,0.01,0,0.02
Edwardsiella ictaluri strain 93-146-08,0.01,0.01,0.02
Aggregatibacter actinomycetemcomitans strain D11S-1-08,0.01,0,0.02
Roseiflexus sp. strain RS-1-30,0.01,0,0.02
Blattabacterium sp. (Periplaneta americana) strain BPLAN-01,0.01,0,0.02
Candidatus Accumulibactor phosphatis Type IIA str. UW-1-30,0.01,0.01,0.02
Azospirillum sp. B510-08,0.01,0.01,0.02
Rhodothermus marinus strain DSM 4252-08,0.01,0,0.02
Slackia heliotrinireducens strain DSM 20476-30,0.01,0,0.02
Leifsonia xyli subsp. xyli strain CTCB07-30,0,0.01,0.02
Burkholderia glumae strain BGR1-30,0.01,0,0.02
Serratia proteamaculans strain 568-08,0.01,0,0.02
Rhodobacter sphaeroides strain KD131-01,0.01,0.01,0.02
Dyadobacter fermentans strain DSM 18053-08,0.02,0.01,0.02
Prochlorococcus sp. NATL2A-30,0,0.01,0.02
Yersinia enterocolitica subsp. enterocolitica strain 8081-30,0.01,0,0.02
Haliangium ochraceum strain DSM 14365-30,0.01,0,0.02
Legionella longbeachae strain NSW150-08,0.01,0.01,0.02
Porphyromonas gingivalis strain ATCC 33277-30,0,0,0.02
Dickeya dadantii strain Ech703-08,0.01,0,0.02
Xanthomonas albilineans var. paspali-30,0.01,0,0.02
Magnetococcus sp. MC-1-08,0.01,0.01,0.02
Legionella pneumophila str. Lens-08,0.01,0,0.02
Stenotrophomonas maltophilia strain R551-3-30,0.01,0.01,0.02
Ehrlichia chaffeensis str. Arkansas-30,0,0,0.02
Shewanella sp. MR-4-08,0.01,0,0.02
Rickettsia bellii strain OSU 85-389-08,0.01,0,0.02
Desulfomicrobium baculatum strain DSM 4028-30,0.01,0,0.02
methanogenic archaeon 6A8-30,0.01,0,0.02
Desulfohalobium retbaense strain DSM 5692-30,0,0.01,0.02
Francisella tularensis subsp. novicida U112-30,0.01,0,0.02
Microcystis aeruginosa NIES-843-08,0.01,0.01,0.02
Shewanella trabarsenatis-08,0.01,0,0.02
Sphingopyxis alaskensis strain RB2256-08,0.01,0.01,0.02
Acinetobacter baumannii strain AYE-30,0.01,0,0.02
Rickettsia bellii strain RML369-C-08,0,0.01,0.02
Buchnera aphidicola strain Tuc7 (Acyrthosiphon pisum)-08,0.01,0,0.02
Chlorobaculum parvum strain NCIB 8327-30,0,0.01,0.02
Nitrobacter hamburgensis strain X14-08,0.01,0.01,0.02
Polaromonas naphthalenivorans strain CJ2-30,0.01,0,0.02
Cenarchaeum symbiosum A-01,0.01,0,0.02
Wolbachia sp. wRi-30,0,0.01,0.02
Pectobacterium carotovora subsp. atroseptica str. SCRI1043-30,0.01,0,0.02
Verrucomicrobiae bacterium V4-30,0,0.01,0.02
Listeria monocytogenes strain HCC23-30,0.01,0,0.02
Burkholderia sp. PsJN-30,0.01,0,0.02
Acinetobacter baumannii strain AB0057-30,0,0,0.02
Nitrosococcus halophilus strain Nc4-01,0.01,0,0.02
Shewanella sp. MR-7-08,0.01,0.01,0.02
Salmonella enterica subsp. enterica serovar Dublin strain CT_02021853-30,0.01,0,0.02
Verrucomicrobiales str. PB90-1-08,0.01,0.01,0.02
Erwinia amylovora strain CFBP1430-08,0.01,0,0.02
Ralstonia pickettii strain 12J-30,0.01,0,0.02
Candidatus Accumulibactor phosphatis Type IIA str. UW-1-08,0.01,0,0.02
Brevibacillus brevis strain NBRC 100599-30,0.01,0,0.02
Acidithiobacillus ferrooxidans str. ATCC 23270-30,0.01,0,0.02
Synechococcus sp. strain JA-2-3B'a(2-13)-08,0.01,0.01,0.02
Shewanella baltica strain OS155-08,0.01,0,0.02
bacterium EX-H1-30,0.01,0,0.02
iron-oxidizing lithotroph ES-1-01,0.01,0,0.02
Denitrovibrio acetiphilus strain DSM 12809-30,0.01,0,0.02
Bacteroides fragilis strain NCTC 9343-30,0,0.01,0.02
Haemophilus ducreyi str. 35000HP-08,0.01,0,0.02
Rhodospirillum centenum strain SW-01,0.01,0.01,0.02
Wautersia eutropha JMP134-30,0.01,0,0.02
Prochlorococcus sp. AS9601-08,0.01,0.01,0.02
Methylococcus capsulatus str. Bath-01,0.01,0.01,0.02
Fibrobacter succinogenes subsp. succinogenes S85-30,0.01,0,0.02
Allochromatium vinosum strain DSM 180-01,0.01,0.01,0.02
Zymomonas mobilis subsp. mobilis strain ZM4-08,0,0.01,0.02
Prevotella ruminicola strain 23-30,0.01,0,0.02
Polynucleobacter sp. QLW-P1DMWA-1-08,0.01,0.01,0.02
Rickettsia akari strain Hartford-30,0,0,0.02
Actinobacillus pleuropneumoniae strain L20-30,0.01,0,0.02
Rhodoferax ferrireducens strain T118-30,0.01,0,0.02
Yersinia enterocolitica subsp. enterocolitica strain 8081-08,0.01,0,0.02
Erythrobacter litoralis strain HTCC2594-01,0.01,0.01,0.02
Shewanella baltica strain OS223-30,0.01,0,0.02
Dechloromonas sp. RCB-08,0.01,0,0.02
Chlorobium tepidum strain TLS-30,0.01,0,0.02
Ferroglobus placidus strain DSM 10642-30,0.01,0,0.02
Bartonella bacilliformis strain KC583-08,0.01,0,0.02
Chloroflexus aggregans strain DSM 9485-30,0.01,0,0.02
Neisseria meningitidis strain alpha14-30,0,0,0.02
Deferribacter desulfuricans strain SSM1-30,0,0,0.02
Sinorhizobium meliloti strain 1021-30,0.01,0.01,0.02
Prochlorococcus sp. NATL2A-08,0,0.01,0.02
Gemmatimonas aurantiaca strain T-27-30,0.01,0,0.02
Sinorhizobium medicae WSM419-30,0.01,0,0.02
Rhodoferax ferrireducens strain T118-08,0.01,0,0.02
Nitrosomonas europaea str. ATCC 19718-08,0.01,0,0.02
Pseudoalteromonas atlantica strain T6c-01,0.01,0.01,0.02
Clostridium difficile strain 630-30,0.01,0,0.02
Deinococcus radiodurans str. R1-30,0.01,0,0.02
Acidithiobacillus ferrooxidans str. ATCC 23270-08,0.01,0,0.02
Wautersia eutropha H16-08,0.01,0,0.02
Pelobacter carbinolicus strain DSM 2380-08,0,0.01,0.02
Shewanella amazonensis strain SB2B-01,0.01,0,0.02
Erwinia pyrifoliae strain Ep1/96-08,0.01,0,0.02
Helicobacter acinonychis strain Sheeba-30,0.01,0,0.02
Ralstonia pickettii strain 12D-08,0.01,0,0.02
Coxiella burnetii strain CbuG_Q212-08,0,0,0.02
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476-30,0.01,0,0.02
Trichodesmium sp. IMS101-08,0.01,0.01,0.02
Nitrosomonas eutropha strain C91-08,0.01,0.01,0.02
Azotobacter vinelandii strain DJ-01,0.01,0,0.02
Brucella abortus strain S19-08,0,0.01,0.02
Shewanella baltica strain OS185-08,0,0,0.02
Acinetobacter baumannii strain ATCC 17978-30,0,0,0.02
Polaromonas sp. JS666-08,0.01,0.01,0.01
Azospirillum sp. B510-30,0.01,0.01,0.01
Rhizobium sp. NGR234-08,0.01,0.01,0.01
Prochlorococcus sp. MIT9215-08,0,0.01,0.01
Polynucleobacter necessarius subsp. necessarius strain STIR1-30,0,0.01,0.01
Burkholderia ambifaria strain MC40-6-30,0.01,0,0.01
Halothiobacillus neapolitanus strain c2-01,0.01,0.01,0.01
Pedobacter heparinus strain DSM 2366-01,0.01,0.01,0.01
Francisella tularensis subsp. tularensis strain SCHU S4-30,0.01,0,0.01
Citrobacter koseri strain ATCC BAA-895-30,0,0.01,0.01
Comamonas testosteroni strain CNB-2-30,0,0.01,0.01
Candidatus Sulcia muelleri strain GWSS-01,0.01,0,0.01
Leptospira biflexa serovar Patoc strain Patoc1-30,0,0.01,0.01
Shigella dysenteriae strain Sd197-30,0,0,0.01
Polaromonas sp. JS666-30,0,0,0.01
Francisella tularensis subsp. tularensis strain SCHU S4-08,0,0,0.01
Photorhabdus luminescens subsp. laumondii str. TTO1-08,0.01,0,0.01
Legionella pneumophila str. Paris-08,0.01,0,0.01
Neisseria meningitidis strain alpha14-08,0,0,0.01
Propionibacterium acnes strain SK137-08,0,0,0.01
Prochlorococcus marinus str. NATL1A-08,0,0.01,0.01
Nitrosococcus oceani strain ATCC 19707-01,0.01,0,0.01
Bradyrhizobium sp. BTAi1-30,0.01,0,0.01
Bradyrhizobium japonicum str. USDA 110-08,0.01,0.01,0.01
Acinetobacter baumannii strain AB307-0294-30,0,0,0.01
Spirosoma linguale strain DSM 74-08,0.01,0.01,0.01
Rhodopseudomonas palustris strain BisB18-30,0.01,0,0.01
Buchnera aphidicola strain 5A (Acyrthosiphon pisum)-08,0.01,0,0.01
Bartonella quintana strain Toulouse-08,0,0.01,0.01
Sulfurovum sp. NBC37-1-30,0.01,0,0.01
Shewanella sp. MR-1-08,0.01,0,0.01
Carsonella-Pv-01,0.01,0,0.01
Dickeya zeae strain Ech1591-30,0.01,0,0.01
Serratia proteamaculans strain 568-30,0.01,0,0.01
Rhodopseudomonas palustris strain BisA53-30,0.01,0,0.01
Chlorobium tepidum strain TLS-08,0.01,0,0.01
Mycobacterium sp. MCS-30,0,0,0.01
Shewanella baltica strain OS195-08,0.01,0,0.01
Cytophaga hutchinsonii strain ATCC 33406-01,0.01,0,0.01
Sulfurihydrogenibium azorense strain Az-Fu1-30,0.01,0,0.01
Brucella canis strain ATCC 23365-08,0,0,0.01
Thermomonospora curvata strain DSM 43183-30,0.01,0,0.01
Rhizobium etli strain CFN 42-08,0.01,0.01,0.01
Shewanella baltica strain OS223-08,0.01,0,0.01
Synechocystis sp.PCC6803-08,0.01,0.01,0.01
Prochlorococcus sp. MIT9215-30,0,0.01,0.01
Xanthomonas sp. Py2-08,0.01,0.01,0.01
Pectobacterium carotovorum subsp. carotovorum strain PC1-08,0.01,0,0.01
Geobacter lovleyi strain SZ-30,0,0.01,0.01
Rhodopseudomonas palustris strain BisB5-30,0,0,0.01
Sinorhizobium meliloti strain 1021-08,0.01,0.01,0.01
Burkholderia multivorans strain ATCC 17616-30,0.01,0,0.01
Sinorhizobium medicae WSM419-08,0.01,0.01,0.01
Candidatus Amoebophilus asiaticus strain 5a2-08,0.01,0.01,0.01
Desulfomicrobium baculatum strain DSM 4028-08,0.01,0,0.01
Stenotrophomonas maltophilia strain R551-3-08,0.01,0,0.01
Yersinia pseudotuberculosis strain YPIII-08,0,0,0.01
Prochlorococcus marinus str. MIT 9301-08,0,0,0.01
Rhizobium sp. ORS571-08,0.01,0.01,0.01
Sphingobium japonicum strain UT26S-08,0.01,0.01,0.01
Xanthomonas oryzae pv. oryzae strain PXO99A-30,0.01,0,0.01
Streptococcus zooepidemicus-30,0,0,0.01
epsilon proteobacterium AmH-08,0,0.01,0.01
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2-08,0,0,0.01
Alkaliphilus metalliredigens strain QYMF-30,0,0,0.01
Desulfobacterium autotrophicum strain HRM2-30,0,0,0.01
Nitrobacter hamburgensis strain X14-30,0,0.01,0.01
Clostridium thermocellum strain ATCC 27405-30,0,0,0.01
Cloacamonas acidaminovorans-30,0,0.01,0.01
Legionella pneumophila subsp. pneumophila strain Philadelphia 1-08,0,0,0.01
Actinobacillus pleuropneumoniae serovar 7 strain AP76-08,0,0,0.01
Bordetella pertussis Tohama I-30,0.01,0,0.01
Burkholderia cepacia AMMD-30,0.01,0,0.01
Clostridium botulinum B1 strain Okra-30,0,0,0.01
Burkholderia cenocepacia strain MC0-3-30,0.01,0,0.01
Wautersia eutropha JMP134-08,0.01,0,0.01
Pseudomonas aeruginosa str. PAO1-01,0.01,0,0.01
Geobacter metallireducens strain GS-15-30,0,0,0.01
Ralstonia solanacearum strain IPO1609-30,0.01,0,0.01
Rhodopseudomonas palustris strain HaA2-30,0,0,0.01
Magnetospirillum sp. AMB-1-01,0.01,0.01,0.01
Polynucleobacter necessarius subsp. necessarius strain STIR1-08,0.01,0,0.01
Syntrophus aciditrophicus strain SB-30,0,0,0.01
Methylobacterium sp. BJ001-30,0.01,0,0.01
Bordetella avium strain 197N-08,0.01,0.01,0.01
Rhodospirillum rubrum strain ATCC 11170-01,0,0.01,0.01
Dickeya dadantii strain Ech586-30,0,0,0.01
Klebsiella pneumoniae strain 342-30,0,0,0.01
Brucella sp. CCM 4915-08,0,0,0.01
gamma proteobacterium MLHE-1-01,0.01,0.01,0.01
Rhizobium etli strain CFN 42-30,0,0,0.01
Variovorax paradoxus strain S110-08,0.01,0,0.01
Bartonella henselae strain Houston-1-08,0,0,0.01
Streptococcus equi subsp. equi strain 4047-30,0,0,0.01
Wautersia eutropha H16-30,0.01,0,0.01
Thermococcus onnurineus strain NA1-30,0.01,0,0.01
Legionella pneumophila strain Corby-08,0,0,0.01
Zymomonas mobilis subsp. mobilis strain NCIMB 11163-08,0,0,0.01
Rhizobium leguminosarum bv. trifolii strain WSM2304-30,0.01,0,0.01
Parabacteroides distasonis strain ATCC 8503-08,0.01,0.01,0.01
cyanobacterium UCYN-A-08,0,0,0.01
Bradyrhizobium sp. BTAi1-08,0.01,0,0.01
Caulobacter segnis strain ATCC 21756-30,0,0,0.01
Xylella fastidiosa 9a5c-08,0.01,0,0.01
Anaplasma marginale subsp. centrale str. Israel-30,0,0,0.01
Haemophilus influenzae Rd KW20-08,0,0,0.01
Bacteroides thetaiotaomicron strain VPI-5482-30,0,0,0.01
Granulobacter bethesdensis CGDNIH1-01,0,0.01,0.01
Shewanella violacea strain DSS12-01,0.01,0,0.01
Legionella pneumophila str. Paris-30,0,0,0.01
Pseudomonas entomophila strain L48-01,0.01,0,0.01
Minibacterium massiliensis-08,0.01,0.01,0.01
Archaeoglobus fulgidus strain VC-16-30,0,0,0.01
Pseudomonas aeruginosa str. UCBPP-PA14-01,0.01,0,0.01
Acidovorax sp. JS42-08,0.01,0,0.01
Streptococcus mutans str. UA159-30,0,0,0.01
Acidimicrobium ferrooxidans strain DSM 10331-08,0,0,0.01
Yersinia pseudotuberculosis strain IP 31758-30,0,0,0.01
Sphingomonas wittichii strain RW1-08,0.01,0.01,0.01
Rickettsia prowazekii strain Madrid E-08,0,0,0.01
Methylobacterium nodulans strain ORS 2060-08,0.01,0,0.01
Geodermatophilus obscurus strain DSM 43160-30,0,0,0.01
Candidatus Sulcia muelleri strain GWSS-30,0,0,0.01
Chlorobium phaeobacteroides strain BS1-08,0,0.01,0.01
Coxiella burnetii strain CbuK_Q154-08,0,0,0.01
Streptococcus suis strain BM407-30,0,0,0.01
Bradyrhizobium sp. ORS278-30,0,0,0.01
Chlorobium chlorochromatii strain CaD3-08,0.01,0,0.01
Corynebacterium diphtheriae NCTC13129-30,0,0,0.01
uncultured methanogenic archaeon Rice Cluster I-30,0,0,0.01
Paramecium bursaria Chlorella virus PBCV-1-08,0,0,0.01
Pyrobaculum calidifontis strain JCM 11548-30,0,0,0.01
Rickettsia typhi str. Wilmington-30,0,0,0.01
Candidatus Sulcia muelleri strain DMIN-01,0,0,0.01
Acinetobacter baumannii strain AB307-0294-08,0,0,0.01
Methylobacterium nodulans strain ORS 2060-30,0,0,0.01
Legionella pneumophila subsp. pneumophila strain Philadelphia 1-30,0,0,0.01
Mycobacterium sp. KMS-30,0,0,0.01
Bacteroides vulgatus strain ATCC 8482-08,0.01,0.01,0.01
Geobacillus sp. WCH70-30,0,0,0.01
Chlorobium phaeobacteroides strain DSM 266-30,0,0,0.01
Arcobacter butzleri strain RM4018-08,0,0,0.01
Methanococcus jannaschii DSM 2661-30,0,0,0.01
Rickettsia felis strain URRWXCal2-08,0,0,0.01
Bordetella petrii strain DSM 12804-08,0.01,0.01,0.01
Acinetobacter baumannii strain ACICU-30,0,0,0.01
Prosthecochloris vibrioformis DSM 265-08,0.01,0,0.01
Bartonella bacilliformis strain KC583-30,0,0,0.01
Bordetella avium strain 197N-30,0,0,0.01
Rhizobium etli strain CIAT 652-08,0.01,0,0.01
Stenotrophomonas maltophilia strain K279a-08,0.01,0,0.01
Beijerinckia indica subsp. indica strain ATCC 9039-08,0,0.01,0.01
Chlorobium chlorochromatii strain CaD3-30,0,0,0.01
Comamonas testosteroni strain CNB-2-08,0.01,0,0.01
Methanobrevibacter ruminantium strain M1-30,0,0,0.01
Pseudomonas sp. strain ADP-01,0,0,0.01
Francisella tularensis subsp. novicida U112-01,0.01,0.01,0.01
Wautersia metallidurans CH34-08,0.01,0,0.01
Micrococcus luteus strain NCTC 2665-30,0,0,0.01
Pseudomonas aeruginosa strain PA7-01,0.01,0,0.01
Burkholderia sp. CCGE1002-08,0.01,0,0.01
Enterobacter sakazakii ATCC BAA-894-08,0,0,0.01
Verrucomicrobiae bacterium V4-08,0,0,0.01
Enterobacter sp. 638-08,0.01,0,0.01
Pyrococcus sp. OT3-30,0,0,0.01
Rickettsia typhi str. Wilmington-08,0,0,0.01
Thiobacillus denitrificans strain ATCC 25259-01,0.01,0,0.01
Shewanella woodyi strain ATCC 51908-01,0.01,0,0.01
Yersinia pestis strain Z176003-30,0,0,0.01
Rhizobium leguminosarum bv. trifolii strain WSM1325-30,0,0,0.01
Streptococcus equi subsp. zooepidemicus strain MGCS10565-30,0,0,0.01
Nitrosomonas europaea str. ATCC 19718-01,0.01,0,0.01
Halomicrobium mukohataei strain DSM 12286-30,0,0,0.01
Kytococcus sedentarius strain DSM 20547-30,0,0,0.01
Pelodictyon luteolum DSM 273-08,0,0,0.01
Francisella tularensis subsp. tularensis strain WY96-3418-08,0,0,0.01
Ralstonia pickettii strain 12J-08,0.01,0,0.01
Brucella suis str. 1330-30,0,0,0.01
Pseudobacterium sepedonicum-30,0,0,0.01
Pelobacter propionicus strain DSM 2379-30,0,0,0.01
