OTU	North_of_PF 01	North_of_PF 08	North_of_PF 30	South_of_PF 01	South_of_PF 08	South_of_PF 30
Brucella ovis strain ATCC 25840	0.002117	0.01693	0.008855	0.0007167	0.01245	0.02248
Prochlorococcus marinus subsp. marinus str. SS120	0.0007864	0.0182	0.01588	0.001257	0.002401	0.03787
Shigella boydii strain CDC 3083-94	0	0	0.003731	0	0.0002824	0.05979
Haliangium ochraceum strain DSM 14365	0.0008883	0.001136	0.007776	0.0008758	0.00322	0.01886
Neisseria meningitidis serogroup B strain MC58	0.0002205	0.003903	0.01266	0.00277	0.006344	0.04364
Aggregatibacter aphrophilus strain NJ8700	0.001823	0.004847	0.002089	0.001928	0.02817	0.01709
Geobacter uraniumreducens Rf4	0.0003799	0.005093	0.005833	0.001138	0.005811	0.03239
Coxiella burnetii strain Dugway 5J108-111	0.003952	0	0.01725	0.0002109	0.04201	0
Sorangium cellulosum strain 'So ce 56'	0.0001276	0.002008	0.006895	0.0001052	0.003803	0.03369
Desulfobacterium autotrophicum strain HRM2	0.0006051	0.004398	0.007806	0.001642	0.01012	0.008021
Burkholderia cenocepacia HI2424	0.000361	0.001729	0.01605	0.000387	0.004321	0.04395
Burkholderia pseudomallei strain 1106a	0.0001175	0.003513	0.01545	0.0003211	0.002369	0.04508
Alteromonas macleodii 'Deep ecotype'	0.02746	0	0	0.03392	0	0
Rhodoferax ferrireducens strain T118	0.001794	0.004358	0.008286	0.004646	0.01698	0.0109
Methylocella sp. BL2	0.005031	0.008187	0.006408	0.00446	0.01093	0.01346
Acinetobacter baumannii strain AB0057	0.002873	0.01466	0.007926	0.004025	0.02958	0.009356
Francisella tularensis subsp. mediasiatica strain FSC147	0.002064	0.006053	0.004031	0.001355	0.003907	0.04291
Bdellovibrio bacteriovorus strain HD100	0.0014	0.003778	0.003308	0.001726	0.005187	0.01903
Methylobacterium radiotolerans strain JCM 2831	0.002327	0.01192	0.0039	0.002084	0.01476	0.0176
Nostoc sp. PCC73102	0.0005346	0.004464	0.007663	0.0006371	0.002985	0.04159
Bacteroides fragilis strain YCH46	0.0006798	0.007222	0.01053	0.001894	0.009754	0.02719
Shewanella baltica strain OS195	0.0009018	0.008629	0.01993	0.002039	0.01218	0.02248
Caulobacter crescentus strain NA1000	0.002452	0.01349	0.01289	0.002375	0.01269	0.006001
Burkholderia mallei strain NCTC 10247	0.0001868	0.000926	0.0105	0.000402	0.001431	0.04358
Xylella fastidiosa str. Temecula1	0.0002442	0.003042	0.01608	0.001093	0.006583	0.03494
Aggregatibacter actinomycetemcomitans strain D11S-1	0.002437	0.00697	0.00138	0.00472	0.01332	0.02457
Stackebrandtia nassauensis strain DSM 44728	0.0003418	0.002165	0.004904	0.0001875	0.003244	0.04499
Burkholderia mallei strain 10229	0.000125	0.001807	0.006313	0.000295	0.002932	0.04508
Serratia proteamaculans strain 568	0.0005832	0.007264	0.008042	0.002826	0.02123	0.01219
Stenotrophomonas maltophilia strain K279a	0.001582	0.005229	0.006534	0.002018	0.01255	0.01957
Stenotrophomonas maltophilia strain R551-3	0.001559	0.004415	0.0134	0.002023	0.01402	0.01293
Porphyromonas gingivalis strain ATCC 33277	0.0009113	0.01192	0.007892	0.003465	0.01434	0.01082
Burkholderia mallei str. ATCC 23344	0	0.0009143	0.005308	0	0.002622	0.04859
Rhodopseudomonas palustris strain HaA2	0.003094	0.008648	0.006198	0.002663	0.00914	0.01095
Mycobacterium abscessus strain ATCC 19977	0.000427	0.002348	0.004295	0.0009755	0.004526	0.04148
Burkholderia pseudomallei strain K96243	0	0.001691	0.009078	0.0003144	0.002002	0.03812
Gloeobacter violaceus strain PCC 7421	0.0007835	0.009328	0.0133	0.001129	0.005402	0.02535
Desulfomicrobium baculatum strain DSM 4028	0.001822	0.002271	0.004121	0.004687	0.01331	0.01458
Neisseria gonorrhoeae strain FA 1090	0.001348	0.001475	0.007656	0.0003818	0.001824	0.03995
Vibrio cholerae serotype O1 biotype ElTor strain N16961	0.002412	0.001647	0.01124	0.002951	0.0208	0.01894
Shewanella sp. MR-4	0.0006648	0.003206	0.01721	0.00208	0.01512	0.01741
Denitrovibrio acetiphilus strain DSM 12809	0.0004644	0.00424	0.005946	0.001178	0.005074	0.01176
Deferribacter desulfuricans strain SSM1	0.001319	0.001087	0.007281	0.001369	0.005678	0.005783
Anaeromyxobacter sp. Fw109-5	0	0.001201	0.009041	0.000387	0.001689	0.02605
Wautersia eutropha JMP134	0.00195	0.003846	0.004573	0.005033	0.01453	0.01701
Buchnera aphidicola str. Sg (Schizaphis graminum)	0.007452	0.01014	0.00415	0.006219	0.0134	0
Natronomonas pharaonis strain DSM 2160	0	0.001091	0.004356	0	0	0.04805
Cloacamonas acidaminovorans	0.0003701	0.003241	0.01	0.0008338	0.003142	0
Rhizobium etli strain CFN 42	0.002222	0.0163	0.00872	0.003601	0.01514	0.009431
Wautersia eutropha H16	0.001857	0.003227	0.003625	0.003259	0.01642	0.01189
Thiomicrospira denitrificans ATCC 33889	0.001167	0.00329	0.005616	0.003727	0.00314	0.01751
Acidovorax sp. JS42	0.001081	0.007671	0.005801	0.00194	0.01483	0.006289
Rickettsia felis strain URRWXCal2	0.002624	0.006591	0.01987	0.002166	0.007682	0.02178
Prosthecochloris vibrioformis DSM 265	0.001925	0.004623	0.002851	0.002142	0.01151	0.01591
Bartonella bacilliformis strain KC583	0.009765	0.007251	0.005013	0.005611	0.01282	0.00559
Burkholderia vietnamiensis strain G4	0.0004592	0.001846	0.002826	0.001402	0.007238	0.03482
Mycoplasma pneumoniae strain M129	0	0	0	0	0	0.04842
Bordetella avium strain 197N	0.002638	0.01105	0.006023	0.003713	0.01866	0.007092
Xanthomonas axonopodis pv. citri str. 306	0.001136	0.002988	0.007708	0.001256	0.007471	0.02863
Prevotella ruminicola strain 23	0.000582	0.006717	0.00599	0.001275	0.008746	0.0124
Desulfohalobium retbaense strain DSM 5692	0.0009056	0.002565	0.01459	0.001549	0.007445	0.002351
Leuconostoc mesenteroides subsp. mesenteroides strain ATCC 8293	0	0	0.01025	0	0	0.04348
Caulobacter segnis strain ATCC 21756	0.004452	0.009192	0.006953	0.003389	0.009775	0.009479
Thermobaculum terrenum strain ATCC BAA-798	0.0003966	0.0009533	0.003043	0.0003629	0.001575	0.02292
Xanthomonas albilineans var. paspali	0.001741	0.004531	0.009189	0.003191	0.01189	0.01191
Acidothermus cellulolyticus strain 11B	0.001222	0.005167	0.004702	0.0005763	0.001634	0.0172
Burkholderia sp. 383	0.0006979	0.001956	0.008441	0.001735	0.009185	0.02711
Methylobacterium nodulans strain ORS 2060	0.002584	0.006263	0.005422	0.002818	0.01596	0.008182
Chlorobium tepidum strain TLS	0.001191	0.002104	0.007334	0.002676	0.01275	0.0129
Corynebacterium nigricans CN-1	0.0003626	0.0008174	0.005865	0	0.003079	0.01667
Methylobacterium sp. 4-46	0.002307	0.006922	0.002762	0.002629	0.01204	0.006847
Prochlorococcus sp. MIT9312	0.001206	0.008334	0.01067	0.001478	0.006602	0.02261
Delftia acidovorans strain SPH-1	0.001161	0.004255	0.006124	0.001573	0.009513	0.02045
Coxiella burnetii strain CbuG_Q212	0.003069	0.008959	0	0.004957	0.005021	0
Legionella pneumophila str. Lens	0.004913	0.002781	0.004139	0.00453	0.01638	0.002095
Rhizobium leguminosarum bv. trifolii strain WSM2304	0.003047	0.01017	0.004452	0.00464	0.01165	0.01333
Geobacter lovleyi strain SZ	0.001124	0.004139	0.01095	0.001722	0.005687	0.004425
Comamonas testosteroni strain CNB-2	0.003061	0.006043	0.01133	0.003198	0.01329	0.005409
Heliobacterium modesticaldum strain Ice1	0.0007116	0.0009188	0.003789	0.0002933	0.00104	0.03441
Geobacter metallireducens strain GS-15	0.001053	0.004503	0.000257	0.001323	0.00266	0.01032
Yersinia pseudotuberculosis strain PB1/+	0.0007968	0.001034	0.004246	0.001586	0.007848	0.03194
Xylella fastidiosa strain M12	0.001868	0.002076	0.006291	0.001223	0.00619	0.0292
Rhodopseudomonas palustris strain CGA009	0.001953	0.009586	0.008527	0.001007	0.01081	0.004912
Acidithiobacillus ferrooxidans str. ATCC 23270	0.003028	0.003915	0.004001	0.004332	0.01428	0.013
Ralstonia pickettii strain 12J	0.001294	0.004037	0.006205	0.001584	0.01257	0.01519
Acinetobacter baumannii strain ATCC 17978	0.0006476	0.01344	0.0102	0.001809	0.01734	0.006737
Caulobacter sp. K31	0.002786	0.005685	0.003962	0.001869	0.006015	0.01934
Syntrophus aciditrophicus strain SB	0.0002955	0.002577	0.008404	0.0008906	0.002123	0.003651
Yersinia pseudotuberculosis strain IP 32953	0.0001417	0.0005	0.003877	0.0002841	0.003155	0.0386
Pseudomonas sp. LB400	0.0004223	0.004979	0.01134	0.001258	0.006774	0.01933
Acinetobacter baumannii strain ACICU	0.002908	0.007966	0.008944	0.003915	0.0208	0.001292
Chlorobaculum parvum strain NCIB 8327	0.001711	0.002649	0.01169	0.002413	0.00615	0.008608
Brucella sp. CCM 4915	0.004138	0	0.004659	0.0008982	0.01044	0.02022
Streptococcus pneumoniae str. R6	0	0	0	0	0	0
Shewanella baltica strain OS185	0.001142	0.008999	0.02412	0.002416	0.006496	0.007187
Photorhabdus asymbiotica Fischer-Le Saux et al. 1999 emend. Akhurst et al. 2004	0.001552	0.004567	0.01176	0.001194	0.007786	0.01969
Chlorobium chlorochromatii strain CaD3	0.001831	0.004693	0.004569	0.001922	0.01194	0.005508
Mycobacterium sp. JLS	0.0002946	0.0006647	0.004827	0.0003375	0.00114	0.03366
sulfate-reducing bacterium Hxd3	0.0008231	0.001457	0.006396	0.0008399	0.005259	0.004785
Rhizobium leguminosarum bv. trifolii strain WSM1325	0.00247	0.008088	0.003361	0.003221	0.01239	0.008894
Francisella tularensis subsp. tularensis strain SCHU S4	0.001053	0.004726	0	0.001659	0.008373	0.01236
Shewanella baltica strain OS223	0.001159	0.005234	0.006462	0.002812	0.01274	0.01302
Pelobacter propionicus strain DSM 2379	0.0005163	0.005628	0.0009455	0.0008289	0.002971	0.008502
Streptococcus suis strain 05ZYH33	0	0	0.02393	0	0.001667	0.02414
Legionella pneumophila subsp. pneumophila strain Philadelphia 1	0.002782	0.006291	0.003604	0.004416	0.009414	0.008142
Wautersia taiwanensis (Chen et al. 2001) Vaneechoutte et al. 2004	0.001413	0.003142	0.004177	0.002636	0.01167	0.01029
Ehrlichia ruminantium strain Welgevonden	0.0002165	0.0004842	0.005289	0.0003113	0.000148	0.03526
Prochlorococcus marinus str. NATL1A	0.001886	0.01143	0.0135	0.002276	0.006632	0.007716
Sphaerobacter thermophilus strain DSM 20745	0.0001291	0.0007879	0.004902	0.0002922	0.003124	0.002312
Citrobacter rodentium strain ICC168	0.0007472	0.004481	0.008176	0.001324	0.01003	0.01598
Rhizobium etli strain CIAT 652	0.00267	0.006219	0.002851	0.003165	0.01579	0.003749
Prochlorococcus sp. NATL2A	0.001473	0.01463	0.01632	0.001962	0.005743	0.007889
Yersinia enterocolitica subsp. enterocolitica strain 8081	0.0009724	0.001031	0.005153	0.002439	0.014	0.01362
Enterobacter sakazakii ATCC BAA-894	0.0007435	0.00174	0.01241	0.000923	0.01035	0.01528
Methylobacterium sp. BJ001	0.002606	0.003537	0.006105	0.002119	0.005354	0.01143
Caulobacter vibrioides CB15	0.003569	0.01481	0.002366	0.001494	0.0134	0.003444
Erwinia tasmaniensis strain Et1/99	0.001023	0.004277	0.006585	0.001815	0.007257	0.01841
Pectobacterium carotovora subsp. atroseptica str. SCRI1043	0.000973	0.004169	0.008192	0.0009273	0.01063	0.01447
Burkholderia sp. PsJN	0.001114	0.002936	0.00881	0.001853	0.005858	0.0128
Legionella pneumophila str. Paris	0.002683	0.004974	0	0.003369	0.01324	0.01046
Burkholderia cenocepacia AU 1054	0.00019	0.001607	0.003434	0.0005073	0.004227	0.02425
Roseiflexus castenholzii strain DSM 13941	0	0.001548	0.002954	0.0002848	0.004241	0.01661
Roseiflexus sp. strain RS-1	0	0.001485	0.004517	0.0003858	0.002625	0.01722
Nocardioides sp. JS614	0.000435	0.002223	0.005839	0.0007562	0.001838	0.0006791
Arcobacter butzleri strain RM4018	0.002545	0.003666	0.001903	0.003178	0.0086	0.002908
Thermomonospora curvata strain DSM 43183	0.001232	0.001517	0.001654	0.0007314	0.001522	0.0115
Coxiella burnetii str. RSA 493	0.0008983	0.003061	0	0.001294	0.002598	0.02912
Neisseria gonorrhoeae strain NCCP11945	0.0007728	0.005253	0.01161	0.00216	0.008353	0.01093
Neisseria meningitidis strain 053442	0.001255	0	0.02179	0.002385	0.004878	0.01365
Orientia tsutsugamushi strain Ikeda	0.0006904	0.001618	0.01289	0.0005301	0.0004903	0.02508
Polynucleobacter necessarius subsp. necessarius strain STIR1	0.002886	0.007941	0.01194	0.004783	0.01216	0.0003098
Thermodesulfovibrio yellowstonii DSM 11347	0.0006407	0.002394	0.003811	0.0009938	0.004675	0
Neisseria meningitidis strain FAM18	0	0.002139	0.006301	0.002263	0.002313	0.026
Haemophilus influenzae strain 86-028NP	0.001556	0.00204	0.006228	0.004656	0.004328	0.0172
Meiothermus ruber strain DSM 1279	0.0002476	0.004994	0.002273	0.0006615	0.006881	0.00684
Shewanella baltica strain OS155	0.001011	0.003307	0.017	0.002733	0.01622	0.002258
Ralstonia pickettii strain 12D	0.001432	0.003835	0.00572	0.00348	0.01549	0.00354
Rothia mucilaginosa strain DY-18	0	0.001221	0	0.0001858	0.0008923	0.03149
Burkholderia pseudomallei strain 1710b	0.0001683	0.0008942	0.003569	0.0004097	0.001416	0.026
Ehrlichia chaffeensis str. Arkansas	0.002717	0.008175	0.005586	0.0008059	0.002087	0.0105
Pelodictyon phaeoclathratiforme strain BU-1	0.001113	0.00555	0.002304	0.004416	0.01007	0.0007668
Bacteroides thetaiotaomicron strain VPI-5482	0.0007981	0.007333	0.008873	0.001633	0.008129	0.006113
Methanococcus vannielii strain SB	0	0	0	0	0.0005601	0.03061
Bartonella tribocorum strain CIP 105476	0.00334	0.00296	0.006478	0.002042	0.002166	0.01629
Rhodopseudomonas palustris strain TIE-1	0.002549	0.005544	0.006057	0.001542	0.007014	0.003611
Burkholderia glumae strain BGR1	0.0006589	0.004578	0.001411	0.001412	0.006014	0.01724
Dickeya zeae strain Ech1591	0.0009356	0.004479	0.003945	0.001642	0.01035	0.01214
bacterium Ellin6076	0.0002664	0.001346	0.001965	0.0004561	0.001182	0.004719
Zymomonas mobilis subsp. mobilis strain ZM4	0.002559	0.01249	0.001642	0.001705	0.003499	0.004406
Rhizobium leguminosarum bv. viciae str. 3841	0.002245	0.006615	0.003018	0.00257	0.01192	0.004969
Erwinia pyrifoliae strain Ep1/96	0.001409	0.009935	0.00635	0.001808	0.01181	0.005285
Yersinia pestis strain Pestoides F	0	0	0.0009569	0.0004756	0.004059	0.02533
bacterium Ellin345	0.0002208	0.002017	0	0.0008124	0.001873	0.002579
Burkholderia mallei strain SAVP1	0	0.001485	0.007112	0.0002453	0.002127	0.02273
Chloroflexus sp. Y-400-fl	0.0003188	0.002058	0.00087	0.000405	0.001101	0.0249
Geobacter sulfurreducens strain PCA	0.0003017	0.00194	0.002553	0.001042	0.002545	0.002071
Neisseria meningitidis strain alpha14	0.001752	0.00663	0.008014	0.0005281	0.0105	0.007527
Leptospira biflexa serovar Patoc strain Patoc1	0.0006368	0.0007842	0.01094	0.00127	0.002598	0.003823
Prochlorococcus sp. MIT9215	0.002498	0.01075	0.0105	0.004183	0.004782	0.0009324
Helicobacter pylori strain J99	0.000232	0	0.01147	0	0	0.02281
Exiguobacterium strain 255-15	0.000252	0.0004035	0.001954	0.0007127	0.001388	0.0254
Leptospirillum ferrooxidans ATCC 53993	0.0009656	0.0021	0	0.003488	0.003622	0.003507
Leifsonia xyli subsp. xyli strain CTCB07	0.0003539	0.0006936	0.01186	0.0004619	0.0005347	0.008858
Wolinella succinogenes strain DSM 1740	0.0007267	0.00161	0.005292	0.001217	0.006477	0.005015
Desulfatibacillum alkenivorans strain AK-01	0.0003286	0.001743	0.0002577	0.001052	0.004373	0.0062
Campylobacter lari strain RM2100	0.000313	0.0009234	0	0.0008531	0.0004135	0.02389
Pectobacterium wasabiae strain WPP163	0.001287	0.004378	0.004065	0.002128	0.008304	0.007063
Wolbachia sp. wRi	0.005744	0.006003	0.01238	0.003831	0.005497	0
Bordetella pertussis Tohama I	0.002089	0.002874	0.002383	0.001617	0.005879	0.01194
Deinococcus radiodurans str. R1	0.0002809	0.003951	0.001901	0.0007823	0.009386	0.01239
Acidobacterium capsulatum strain ATCC 51196	0.0008901	0.00133	0.003731	0.0006422	0.001961	0.002927
Bartonella quintana strain Toulouse	0.00612	0.0112	0.006779	0.00225	0.006022	0.002375
Klebsiella pneumoniae subsp. pneumoniae strain MGH 78578	0.0001444	0.002867	0.005267	0	0.004768	0.01809
Chloroflexus aggregans strain DSM 9485	0.0006986	0.002758	0.0004028	0.0007651	0.002603	0.01291
Geobacter bemidjiensis strain Bem	0.0001811	0.001709	0.001662	0.0006822	0.003407	0.001507
Desulfovibrio salexigens strain DSM 2638	0.00102	0.009196	0.003916	0.0009955	0.006299	0.002352
Mycobacterium vanbaalenii strain PYR-1	0.0001798	0.0004322	0.002224	0.0001395	0.0008852	0.02438
Sulfurihydrogenibium azorense strain Az-Fu1	0.0003946	0.002326	0	0.0008472	0.004473	0.01135
Acinetobacter baumannii strain AYE	0.0004396	0.004384	0.005884	0.003876	0.001494	0.01265
Pectobacterium carotovorum subsp. carotovorum strain PC1	0.001107	0.003352	0.0085	0.001509	0.01305	0.004435
Geobacter sp. FRC-32	0.0001846	0.001688	0.003448	0.0008702	0.002309	0.002944
Actinobacillus pleuropneumoniae strain L20	0.0003809	0.001154	0	0.0004914	0.007851	0.01413
Geodermatophilus obscurus strain DSM 43160	0.003197	0.002515	0.001317	0.00299	0.00159	0.009572
Leptospira interrogans serovar Copenhageni strain Fiocruz L1-130	0.0007933	0.00115	0.002579	0.002312	0.00546	0.006643
Carboxydothermus hydrogenoformans str. Z-2901	0.0006644	0.0005869	0.0007724	0.001209	0.004557	0.0001064
Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2	0.002917	0.004666	0	0.004486	0.008207	0.0006558
Bacteroides fragilis strain NCTC 9343	0.000696	0.004196	0.01195	0.001769	0.003347	0.005409
Enterobacter sp. 638	0.0008388	0.00415	0.005049	0.001753	0.0122	0.004092
Syntrophobacter fumaroxidans strain MPOB	0	0.003266	0.0004039	0.0004133	0.002572	0.003633
Acidovorax citrulli strain AAC00-1	0.001404	0.005453	0.004023	0.001911	0.007447	0.003764
Dickeya dadantii strain Ech586	0.00103	0.002976	0.005428	0.001485	0.008194	0.008466
Syntrophomonas wolfei subsp. wolfei strain Goettingen	0	0.0001207	0	0.0003271	0.001744	0.01926
Fibrobacter succinogenes subsp. succinogenes S85	0.0002407	0.001122	0.001989	0.0005411	0.002149	0.01304
bacterium EX-H1	0.0001462	0.00156	0	0.0008495	0.0008531	0.01379
Burkholderia cepacia AMMD	0.0003227	0.002001	0.002819	0.0004904	0.005726	0.01237
Citrobacter koseri strain ATCC BAA-895	0.0007789	0.003029	0.01055	0.001008	0.006384	0.006781
Burkholderia ambifaria strain MC40-6	0.0005063	0.002387	0.003916	0.0004729	0.003603	0.01373
Legionella pneumophila strain Corby	0.004466	0.00195	0.00483	0.002856	0.01016	0.0007187
Gluconacetobacter diazotrophicus strain PAl 5	0.001106	0.006178	0.003595	0.0009822	0.003695	0.005532
Myxococcus xanthus strain DK 1622	0.0001807	0.001757	0.0008465	0.0003083	0.00198	0.003889
Acinetobacter baumannii strain AB307-0294	0.0005039	0.001011	0.008574	0	0.00884	0.006232
Thermobifida fusca strain YX	0.0007845	0.0009764	0.000654	0.0008373	0.002657	0.006501
Anaeromyxobacter sp. K	0.0002545	0.001477	0.001624	0.0003574	0.001804	0.004555
Symbiobacterium thermophilum strain IAM 14863	0.0005586	0.0002475	0.003633	0.0001818	0.001134	0.003738
Thermomicrobium roseum DSM 5159	0	0.0001103	0	0.0007053	0.001217	0.001749
Conexibacter woesei strain DSM 14684	0.0002275	0.00266	0.002074	0.0002439	0.00228	0.006219
Bordetella parapertussis strain 12822	0.0007433	0.002336	0.002972	0.001411	0.004408	0.0092
Methylobacterium sp. DM4	0.001615	0.00587	0.003801	0.0008457	0.004646	0.004808
Bartonella grahamii strain as4aup	0.003583	0.001582	0.002078	0.001351	0.0057	0.00715
Erwinia amylovora strain CFBP1430	0.0001594	0.001527	0.0004576	0.0009693	0.01564	0.004929
Brucella suis strain ATCC 23445	0.002339	0.004052	0.007685	0.002469	0.004905	0
Bordetella bronchiseptica RB50	0.001446	0.001874	0.002816	0.001648	0.004459	0.004827
Burkholderia cepacia str. J2315	0.0007953	0.003006	0.002374	0.001303	0.00764	0.007656
Alkaliphilus metalliredigens strain QYMF	0.0004567	0.0001593	0.002212	0.0005843	0.004198	0.01041
Sphingomonas sp. KA1	0	0	0	0	0	0
Yersinia pestis strain Angola	0	0	0.001379	0.0005371	0.0005516	0.02129
Rhodococcus opacus strain B4	0.0006586	0.001719	0.00088	0.001307	0.005392	0.0043
Eubacterium rectale strain ATCC 33656	0.0002646	0	0.001103	0.0001324	0.001377	0.01996
methanogenic archaeon 6A8	0	0	0	0.0001731	0.0003908	0.01635
Nitratiruptor sp. SB155-2	0.001206	0.00287	0.002011	0.001118	0.00401	0
Leptospira interrogans serovar Lai str. 56601	0.0005064	0.001654	0.003455	0.001397	0.003476	0
Geobacillus sp. WCH70	0.001601	0.0006847	0.002108	0.001927	0.00147	0.008423
Ralstonia solanacearum strain IPO1609	0.0005708	0.001752	0.002158	0.0007863	0.004161	0.01137
Xanthomonas oryzae pv. oryzae strain PXO99A	0.0003416	0.001093	0.002897	0.0003341	0.005288	0.01173
Buchnera aphidicola strain 5A (Acyrthosiphon pisum)	0.005703	0	0	0.006732	0.01202	0
Rickettsia typhi str. Wilmington	0.003862	0.005495	0.0004	0.001695	0.003567	0.009438
Burkholderia cenocepacia strain MC0-3	0.0006309	0.00156	0.001773	0.0007183	0.004761	0.01152
Brucella canis strain ATCC 23365	0.002119	0.007827	0	0.002428	0.005731	0.007152
Neisseria meningitidis serogroup A strain Z2491	0.0005818	0.002178	0.00603	0.0009953	0.005157	0.004786
Xanthomonas euvesicatoria str. 85-10	0.001009	0.001353	0.006922	0.001276	0.006317	0.002923
Clostridium thermocellum strain ATCC 27405	0.0003191	0.0004464	0.002787	0.0002209	0.002548	0.008738
Saccharomonospora viridis strain DSM 43017	0.0003496	0.001868	0.0004249	0.0007129	0.002961	0.001119
Rickettsia bellii strain RML369-C	0.004899	0.01255	0	0.001665	0.004148	0
Rhodococcus sp. RHA1	0.000916	0.002457	0.0009467	0.001648	0.006752	0.005265
Yersinia pseudotuberculosis strain YPIII	0.0001254	0.003649	0.006797	0.0003963	0.01073	0.00351
Buchnera aphidicola strain Tuc7 (Acyrthosiphon pisum)	0.002506	0	0	0.0005019	0.01534	0
Ruegeria sp. PR1b	0.01811	0	0	0.004617	0	0
Sodalis glossinidius strain 'morsitans'	0.0005036	0.003596	0.007035	0.0009625	0.008565	0.002758
Yersinia pseudotuberculosis strain IP 31758	0.0001671	0.0006867	0.003568	0.0009892	0.005782	0.009027
Brucella melitensis strain ATCC 23457	0.001838	0.002736	0	0	0.002117	0.007556
Listeria monocytogenes strain HCC23	0.0001605	0.0005876	0.001722	0	0.001098	0.01598
Anaeromyxobacter dehalogenans strain 2CP-1	0.0001296	0.002013	0	0.0003462	0.001566	0.001114
Salmonella enterica subsp. enterica serovar Heidelberg str. SL476	0.0003156	0.001252	0.001044	0.000446	0.004814	0.01157
Slackia heliotrinireducens strain DSM 20476	0	0.0004573	0.0001245	0	0.0009153	0.0175
Paenibacillus sp. JDR-2	0.001137	0.003039	0.0001137	0.001727	0.004685	0.004374
Brevibacillus brevis strain NBRC 100599	0.0008091	0.0009897	0.005906	0.000486	0.001621	0.01029
Methylobacterium extorquens strain PA1	0.001842	0.003206	0.003255	0.001298	0.004315	0.004206
Ferroglobus placidus strain DSM 10642	0.0001221	0.001128	0.002631	0.0002312	0.00136	0.01135
Burkholderia sp. STM815	0.002049	0.003661	0.002338	0.002691	0.005571	0.002029
Sulfurospirillum deleyianum strain DSM 6946	0.001115	0.002834	0	0.003635	0.004705	0.006683
Burkholderia multivorans strain ATCC 17616	0.0002686	0.0011	0.002775	0.0005142	0.001924	0.01286
Anoxybacillus flavithermus strain WK1	0.001908	0.001194	0.0004159	0.001915	0.001093	0.002136
Clostridium difficile strain 630	0.0002339	0.0003366	0.00167	0.0002627	0.0009231	0.01286
Geobacillus kaustophilus HTA426	0.0006103	0.001803	0	0.0008037	0.002141	0.0058
Anaeromyxobacter dehalogenans strain 2CP-C	0.0001067	0.0009867	0.001845	0.0003547	0.001108	0
Chlorobium phaeobacteroides strain DSM 266	0.000337	0.001321	0.004673	0.0007635	0.002597	0.007075
Rickettsia akari strain Hartford	0.00132	0	0.005698	0.001264	0	0.009997
Rickettsia peacockii strain Rustic	0.001972	0	0	0.0003537	0	0
uncultured methanogenic archaeon Rice Cluster I	0	0.002831	0.0001481	0	0.001156	0.009821
Klebsiella variicola strain At-22	0.0005935	0.00223	0.007267	0.0009141	0.006824	0.00253
Klebsiella pneumoniae strain 342	0.0004436	0.0009494	0.006897	0.0005487	0.004909	0.007678
Ralstonia solanacearum strain MolK2	0.0002138	0.001577	0.00259	0.0008617	0.006638	0.005708
Methylobacterium sp. CM4	0.001586	0.003043	0.001695	0.001119	0.003689	0.00469
Acidaminococcus fermentans strain DSM 20731	0.001288	0	0	0.00243	0.004422	0
Pelotomaculum thermopropionicum strain SI	0.0004804	0.001473	0.003701	0.00016	0.0001974	0
Xanthomonas oryzae pv. oryzae strain MAFF 311018	0.000373	0.001238	0.002119	0.0003442	0.004287	0.006586
Thermanaerovibrio acidaminovorans strain DSM 6589	0	0	0.0003178	0.0004557	0.004224	0
Salinibacter ruber strain DSM 13855	0.0001075	0.000932	0.003412	0.0004257	0.0006807	0.004854
Deinococcus geothermalis strain DSM 11300	0.0004731	0.002208	0.005738	0.001708	0.002965	0.002961
Helicobacter acinonychis strain Sheeba	0	0.0005727	0	0.0002069	0	0.01411
Salmonella enterica subsp. enterica serovar Dublin strain CT_02021853	0	0.0001915	0	0.0005578	0	0.01525
Buchnera aphidicola str. Bp (Baizongia pistaciae)	0.005353	0.005671	0	0.004458	0.003401	0
Francisella tularensis subsp. tularensis strain WY96-3418	0	0	0.005177	0.002031	0.008727	0
Yersinia pestis strain Antiqua	0	0.004292	0.000305	0.0001015	0.003845	0.003301
Burkholderia thailandensis strain E264	0.0004441	0.0009792	0.004232	0.0005666	0.003487	0.006357
Methanococcoides burtonii str. DSM 6242	0.0003702	0.002342	0.003225	0.0002547	0.002916	0
Mycobacterium sp. MCS	0.0003271	0.0003694	0.003874	0	0.000831	0.01091
methanogenic archaeon strain SANAE	0.0002386	0.0003889	0	0	0.0008726	0.0008329
Halothermothrix orenii strain H 168	0.0005726	0.001717	0	0.0004463	0.002218	0
Coxiella burnetii strain RSA 331	0.004024	0.003595	0.0001368	0.003778	0.002103	0
Frankia sp. CcI3	0.0005416	0.001471	0.001567	0.0001454	0.001425	0.00593
Dehalococcoides ethenogenes strain 195	0	0	0	0.0003099	0	0
Salinibacter ruber Anton et al. 2002	0.0005265	0.001077	0.003125	0.0003922	0.001228	0.004446
Kytococcus sedentarius strain DSM 20547	0.0004933	0.002277	0.00522	0.0001838	0.001315	0.004151
Archaeoglobus fulgidus strain VC-16	0	0.0005087	0.004852	0	0	0.006582
Streptomyces avermitilis str. MA-4680	0.0001053	0.001443	0.0002246	0.0002254	0.003416	0.007478
