Ortholog group,Average abundance South (standardised and log transformed),Average abundance North (standardised and log transformed),Contribution to variance (%)
2-dehydro-3-deoxygalactonokinase [EC:2.7.1.58]-08,0.02,0.01,0.02
L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]-30,0.01,0.02,0.02
cobalamin biosynthesis protein CbiG / precorrin-3B-08,0.02,0.02,0.02
quinolinate synthase [EC:2.5.1.72]-08,0.04,0.03,0.02
preprotein translocase subunit SecY-01,0.04,0.04,0.02
electron transport complex protein RnfE-08,0.01,0,0.02
beta-N-acetylhexosaminidase [EC:3.2.1.52]-08,0.02,0.03,0.02
enoyl-CoA hydratase [EC:4.2.1.17]-30,0.02,0.02,0.02
NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2]-30,0.01,0.02,0.02
carboxyl-terminal processing protease [EC:3.4.21.102]-01,0.04,0.04,0.02
S-formylglutathione hydrolase [EC:3.1.2.12]-08,0.03,0.02,0.02
pyruvate kinase [EC:2.7.1.40]-08,0.06,0.06,0.02
cyclopropane-fatty-acyl-phospholipid synthase [EC:2.1.1.79]-01,0.04,0.05,0.02
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase-08,0.03,0.02,0.02
pre-mRNA-processing factor 8-08,0,0.02,0.02
acyl-CoA thioesterase I [EC:3.1.2.- 3.1.1.5]-08,0.02,0.01,0.02
adenosylmethionine-8-amino-7-oxononanoate aminotransferase-08,0.02,0.01,0.02
5-methyltetrahydrofolate--homocysteine methyltransferase-01,0.02,0.01,0.02
3-dehydroquinate synthase [EC:4.2.3.4]-08,0.05,0.04,0.02
chromosomal replication initiator protein-01,0.04,0.04,0.02
ketol-acid reductoisomerase [EC:1.1.1.86]-08,0.07,0.07,0.02
general secretion pathway protein E-08,0.03,0.02,0.02
glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]-08,0.06,0.05,0.02
homoserine O-acetyltransferase [EC:2.3.1.31]-08,0.03,0.04,0.02
ammonium transporter; Amt family-30,0.01,0.02,0.02
NAD+ kinase [EC:2.7.1.23]-08,0.04,0.04,0.02
small subunit ribosomal protein S2-08,0.05,0.04,0.02
preprotein translocase subunit YidC-30,0.01,0.02,0.02
tRNA modification GTPase-01,0.04,0.04,0.02
methionyl-tRNA formyltransferase [EC:2.1.2.9]-30,0.01,0.02,0.02
replicative DNA helicase [EC:3.6.1.-]-30,0.01,0.02,0.02
methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27]-01,0.04,0.04,0.02
ABC-2 type transport system permease protein-08,0.03,0.02,0.02
O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]-30,0.01,0.02,0.02
ribosomal large subunit pseudouridine synthase D [EC:5.4.99.12]-30,0.01,0.02,0.02
iron(III) transport system permease protein-30,0.01,0.02,0.02
ribonuclease R [EC:3.1.-.-]-01,0.03,0.02,0.02
3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]-08,0.06,0.06,0.02
fumarate hydratase; class II [EC:4.2.1.2]-01,0.03,0.04,0.02
heat-inducible transcriptional repressor-08,0.02,0.02,0.02
formate dehydrogenase; alpha subunit [EC:1.2.1.2]-01,0.06,0.05,0.02
D-3-phosphoglycerate dehydrogenase [EC:1.1.1.95]-30,0.01,0.02,0.02
guanosine-3';5'-bis(diphosphate) 3'-pyrophosphohydrolase-08,0.03,0.03,0.02
branched-chain amino acid transport system ATP-binding protein-01,0.04,0.04,0.02
DNA-directed RNA polymerase II subunit B [EC:2.7.7.6]-08,0.01,0.02,0.02
glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]-01,0.04,0.04,0.02
leucyl aminopeptidase [EC:3.4.11.1]-01,0.03,0.04,0.02
cytochrome c-type biogenesis protein CcmF-30,0.01,0.02,0.02
sodium/proline symporter-08,0.02,0.01,0.02
ATP-dependent RNA helicase DeaD-30,0.01,0.02,0.02
MoxR-like ATPase [EC:3.6.3.-]-30,0.01,0.02,0.02
ATP-dependent Clp protease ATP-binding subunit ClpB-30,0.01,0.02,0.02
CTP synthase [EC:6.3.4.2]-01,0.04,0.05,0.02
riboflavin synthase alpha chain [EC:2.5.1.9]-08,0.04,0.03,0.02
glutamate-1-semialdehyde 2;1-aminomutase [EC:5.4.3.8]-30,0.01,0.02,0.02
3-demethylubiquinone-9 3-methyltransferase [EC:2.1.1.- 2.1.1.64]-08,0.04,0.03,0.02
PTS system; nitrogen regulatory IIA component [EC:2.7.1.69]-08,0.02,0.01,0.02
homoserine O-acetyltransferase [EC:2.3.1.31]-01,0.03,0.04,0.02
NADH dehydrogenase I subunit B [EC:1.6.5.3]-08,0.03,0.02,0.02
glutamate synthase (NADPH/NADH) small chain [EC:1.4.1.13 1.4.1.14]-01,0.05,0.05,0.02
anthranilate synthase component I [EC:4.1.3.27]-01,0.04,0.04,0.02
argininosuccinate lyase [EC:4.3.2.1]-30,0.01,0.02,0.02
cytochrome c-type biogenesis protein CcmF-01,0.04,0.05,0.02
galactarate dehydratase [EC:4.2.1.42]-08,0.02,0.02,0.02
arginyl-tRNA synthetase [EC:6.1.1.19]-01,0.04,0.04,0.02
adenylosuccinate lyase [EC:4.3.2.2]-08,0.06,0.06,0.02
ATP-binding cassette; subfamily B; bacterial-01,0.02,0.01,0.02
glycyl-tRNA synthetase beta chain [EC:6.1.1.14]-30,0.01,0.02,0.02
2-oxoglutarate ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3]-08,0.01,0.01,0.02
large subunit ribosomal protein L13-08,0.03,0.02,0.02
general L-amino acid transport system ATP-binding protein-08,0.03,0.02,0.02
neurotransmitter:Na+ symporter; NSS family-30,0,0.01,0.02
molecular chaperone DnaJ-30,0.01,0.02,0.02
flagellar motor switch protein FliG-08,0.02,0.03,0.02
adenosylhomocysteinase [EC:3.3.1.1]-01,0.04,0.05,0.02
dTDP-glucose 4;6-dehydratase [EC:4.2.1.46]-08,0.04,0.04,0.02
UDP-N-acetylglucosamine acyltransferase [EC:2.3.1.129]-08,0.04,0.04,0.02
replicative DNA helicase [EC:3.6.1.-]-01,0.04,0.04,0.02
2-haloacid dehalogenase [EC:3.8.1.2]-08,0.02,0.02,0.02
NAD+ synthase [EC:6.3.1.5]-08,0.03,0.03,0.02
cytochrome c oxidase subunit II [EC:1.9.3.1]-30,0.01,0.02,0.02
glutathione synthase [EC:6.3.2.3]-08,0.04,0.04,0.02
choline dehydrogenase [EC:1.1.99.1]-30,0.01,0.02,0.02
ATP-dependent Clp protease; protease subunit [EC:3.4.21.92]-30,0.01,0.02,0.02
large subunit ribosomal protein L9-08,0.03,0.02,0.02
phosphate transport system permease protein-30,0,0.01,0.02
DNA primase [EC:2.7.7.-]-30,0.01,0.02,0.02
two-component system; chemotaxis family; sensor kinase CheA-08,0.01,0.02,0.02
oligoribonuclease [EC:3.1.-.-]-08,0.02,0.01,0.02
signal recognition particle subunit SRP54-01,0.04,0.04,0.02
RNA methyltransferase; TrmH family [EC:2.1.1.-]-08,0.04,0.04,0.02
Na+-transporting NADH:ubiquinone oxidoreductase subunit F-08,0.04,0.03,0.02
lysyl-tRNA synthetase; class II [EC:6.1.1.6]-01,0.02,0.01,0.02
glycyl-tRNA synthetase [EC:6.1.1.14]-08,0.01,0.02,0.02
peptide chain release factor RF-3-30,0.01,0.02,0.02
aminopeptidase N [EC:3.4.11.2]-01,0.02,0.01,0.02
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]-30,0.01,0.02,0.02
LysR family transcriptional regulator; positive regulator for ilvC-08,0.02,0.01,0.02
multiple sugar transport system permease protein-30,0.01,0.02,0.02
chromosome partitioning protein-08,0.06,0.06,0.02
membrane protease subunit HflK [EC:3.4.-.-]-08,0.05,0.04,0.02
O-sialoglycoprotein endopeptidase [EC:3.4.24.57]-08,0.06,0.05,0.02
Fe-S cluster assembly protein SufD-30,0,0.02,0.02
dynein heavy chain; axonemal-30,0.01,0.02,0.02
acetyl-CoA carboxylase biotin carboxyl carrier protein-08,0.03,0.02,0.02
cob(I)alamin adenosyltransferase [EC:2.5.1.17]-08,0.03,0.03,0.02
GMP reductase [EC:1.7.1.7]-08,0,0.01,0.02
precorrin-3B C17-methyltransferase [EC:2.1.1.131]-08,0.02,0,0.02
isocitrate dehydrogenase [EC:1.1.1.42]-01,0.04,0.04,0.02
carboxypeptidase Taq [EC:3.4.17.19]-08,0.01,0.02,0.02
bis(5'-nucleosyl)-tetraphosphatase (symmetrical) [EC:3.6.1.41]-08,0.02,0.01,0.02
phosphoserine phosphatase [EC:3.1.3.3]-08,0.03,0.02,0.02
3-oxoacyl-[acyl-carrier-protein] synthase III [EC:2.3.1.180]-30,0.01,0.02,0.02
dynein heavy chain 1; cytosolic-30,0.02,0.01,0.02
phosphoenolpyruvate carboxykinase (ATP) [EC:4.1.1.49]-01,0.02,0.02,0.02
beta-glucosidase [EC:3.2.1.21]-30,0.01,0.02,0.02
threonine synthase [EC:4.2.3.1]-01,0.04,0.04,0.02
recombination protein RecA-01,0.04,0.04,0.02
DNA polymerase III subunit epsilon [EC:2.7.7.7]-30,0.01,0.02,0.02
aspartate kinase [EC:2.7.2.4]-30,0.01,0.02,0.02
hippurate hydrolase [EC:3.5.1.32]-30,0.01,0.02,0.02
LysR family transcriptional regulator; cys regulon transcriptional-08,0.02,0.01,0.02
citrate synthase [EC:2.3.3.1]-08,0.06,0.05,0.02
polar amino acid transport system permease protein-08,0.03,0.02,0.02
hydroxypyruvate isomerase [EC:5.3.1.22]-08,0.02,0.01,0.02
multiple sugar transport system substrate-binding protein-30,0.01,0.02,0.02
tryptophanyl-tRNA synthetase [EC:6.1.1.2]-30,0.01,0.02,0.02
molybdate transport system ATP-binding protein-08,0.01,0,0.02
AraC family transcriptional regulator; regulatory protein of-08,0.01,0.02,0.02
rod shape-determining protein MreB and related proteins-30,0.01,0.01,0.02
[acyl-carrier-protein] S-malonyltransferase [EC:2.3.1.39]-08,0.04,0.04,0.02
lipid A biosynthesis lauroyl acyltransferase [EC:2.3.1.-]-08,0.04,0.03,0.02
superoxide dismutase; Fe-Mn family [EC:1.15.1.1]-08,0.01,0.02,0.02
serine O-acetyltransferase [EC:2.3.1.30]-08,0.04,0.04,0.02
ATP-dependent RNA helicase RhlE [EC:3.6.1.-]-30,0.01,0.02,0.02
thiamine transport system permease protein-08,0.02,0.01,0.02
sec-independent protein translocase protein TatC-08,0.04,0.04,0.02
tRNA 2-selenouridine synthase [EC:2.9.1.-]-08,0.03,0.03,0.02
cytochrome c oxidase subunit III [EC:1.9.3.1]-01,0.04,0.03,0.02
ABC-2 type transport system ATP-binding protein-08,0.02,0.02,0.02
branched-chain amino acid transport system substrate-binding protein-01,0.04,0.05,0.02
coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]-08,0.03,0.02,0.02
ATP-dependent Clp protease ATP-binding subunit ClpA-30,0.01,0.02,0.02
oxygen-independent coproporphyrinogen III oxidase [EC:1.3.99.22]-30,0.01,0.02,0.02
NADH dehydrogenase I subunit L [EC:1.6.5.3]-01,0.04,0.04,0.02
peptide/nickel transport system substrate-binding protein-01,0.02,0.02,0.02
virulence factor-01,0.03,0.04,0.02
proline dehydrogenase / delta 1-pyrroline-5-carboxylate-30,0.01,0.02,0.02
pyruvate dehydrogenase E2 component (dihydrolipoamide-30,0.02,0.03,0.02
urease accessory protein-08,0.01,0.02,0.02
4-hydroxy-3-methylbut-2-enyl diphosphate reductase [EC:1.17.1.2]-08,0.04,0.04,0.02
tRNA modification GTPase-30,0.01,0.02,0.02
peptide chain release factor RF-2-08,0.05,0.04,0.02
F-type H+-transporting ATPase subunit epsilon [EC:3.6.3.14]-08,0.03,0.02,0.02
ferredoxin-30,0,0.01,0.02
2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide-01,0.04,0.04,0.02
electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]-30,0.01,0.02,0.02
methionyl aminopeptidase [EC:3.4.11.18]-08,0.05,0.05,0.02
molybdenum cofactor biosynthesis protein A-08,0.04,0.03,0.02
small subunit ribosomal protein S14-08,0.03,0.02,0.02
ribosomal large subunit pseudouridine synthase A [EC:5.4.99.12]-08,0.02,0.02,0.02
D-alanyl-D-alanine carboxypeptidase (penicillin-binding protein 5/6)-30,0,0.01,0.02
disulfide bond formation protein DsbB-08,0.02,0.01,0.02
sirohydrochlorin cobaltochelatase [EC:4.99.1.3]-08,0.01,0,0.02
dTDP-glucose 4;6-dehydratase [EC:4.2.1.46]-30,0.01,0.02,0.02
cysteine desulfurase [EC:2.8.1.7]-30,0.01,0.02,0.02
N-acetylmuramoyl-L-alanine amidase [EC:3.5.1.28]-08,0.04,0.03,0.02
myo-inositol 2-dehydrogenase [EC:1.1.1.18]-08,0.02,0.01,0.02
type I restriction enzyme M protein [EC:2.1.1.72]-08,0.03,0.02,0.02
malate synthase [EC:2.3.3.9]-01,0.05,0.06,0.02
TldD protein-01,0.03,0.03,0.02
malate dehydrogenase [EC:1.1.1.37]-30,0.01,0.02,0.02
putative ATP-binding cassette transporter-08,0,0.01,0.02
phytoene dehydrogenase; phytoene desaturase [EC:1.14.99.-]-08,0,0.01,0.02
sulfate permease; SulP family-08,0.01,0.02,0.02
diacylglycerol kinase [EC:2.7.1.107]-08,0.02,0.01,0.02
capsular polysaccharide export protein-08,0.01,0.02,0.02
tRNA dimethylallyltransferase [EC:2.5.1.75]-08,0.04,0.04,0.02
phosphoglycerate kinase [EC:2.7.2.3]-08,0.07,0.07,0.02
glycine hydroxymethyltransferase [EC:2.1.2.1]-30,0.02,0.02,0.02
riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]-30,0,0.01,0.02
UDP-N-acetylmuramate dehydrogenase [EC:1.1.1.158]-08,0.04,0.04,0.02
salicylate hydroxylase [EC:1.14.13.1]-08,0.01,0.01,0.02
2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]-08,0.02,0.02,0.02
NADH dehydrogenase I subunit F [EC:1.6.5.3]-01,0.04,0.05,0.02
preprotein translocase subunit YidC-01,0.04,0.05,0.02
phosphonate transport system permease protein-08,0.03,0.02,0.02
myo-inositol-1(or 4)-monophosphatase [EC:3.1.3.25]-30,0.01,0.02,0.02
ATP phosphoribosyltransferase [EC:2.4.2.17]-08,0.04,0.03,0.02
N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]-08,0.02,0.01,0.02
NADH dehydrogenase I subunit M [EC:1.6.5.3]-01,0.03,0.03,0.02
antibiotic transport system ATP-binding protein-30,0.01,0.02,0.02
general L-amino acid transport system permease protein-30,0.01,0.01,0.02
sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]-08,0.02,0.02,0.02
Fe-S cluster assembly protein SufB-01,0.03,0.03,0.02
glycine betaine/proline transport system substrate-binding protein-01,0.04,0.04,0.02
MFS transporter; PAT family; beta-lactamase induction signal-01,0.03,0.03,0.02
glycerol-3-phosphate dehydrogenase [EC:1.1.5.3]-30,0.01,0.02,0.02
gamma-butyrobetaine dioxygenase [EC:1.14.11.1]-08,0.02,0.01,0.02
mannose-6-phosphate isomerase [EC:5.3.1.8]-08,0.02,0.02,0.02
phosphoribosylaminoimidazole-succinocarboxamide synthase-08,0.05,0.04,0.02
aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]-30,0.01,0.02,0.02
acetylornithine aminotransferase [EC:2.6.1.11]-08,0.02,0.01,0.02
putative (di)nucleoside polyphosphate hydrolase [EC:3.6.1.-]-08,0.03,0.02,0.02
magnesium chelatase subunit I [EC:6.6.1.1]-08,0.01,0.02,0.02
phenylacetic acid degradation protein-30,0.01,0.02,0.02
small subunit ribosomal protein S4-08,0.05,0.05,0.02
heme exporter protein C-08,0.03,0.03,0.02
methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.27]-30,0.01,0.02,0.02
histidine transport system permease protein-08,0.01,0,0.02
putative spermidine/putrescine transport system permease protein-08,0.04,0.04,0.02
gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase [EC:1.2.1.-]-08,0.02,0.02,0.02
cysteinyl-tRNA synthetase [EC:6.1.1.16]-01,0.04,0.04,0.02
2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]-08,0.01,0,0.02
cysteinyl-tRNA synthetase [EC:6.1.1.16]-30,0.01,0.02,0.02
deoxyhypusine synthase [EC:2.5.1.46]-08,0.01,0.01,0.02
MSHA biogenesis protein MshL-08,0.01,0,0.02
amidase [EC:3.5.1.4]-08,0.03,0.03,0.02
NADH dehydrogenase I subunit I [EC:1.6.5.3]-08,0.02,0.02,0.02
N-acetylneuraminate synthase [EC:2.5.1.56]-08,0.04,0.04,0.02
(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1]-01,0.03,0.03,0.02
integrase/recombinase XerD-08,0.03,0.03,0.02
dihydrodipicolinate synthase [EC:4.2.1.52]-01,0.04,0.04,0.02
apolipoprotein N-acyltransferase [EC:2.3.1.-]-08,0.05,0.04,0.02
lysyl-tRNA synthetase; class I [EC:6.1.1.6]-01,0.02,0.03,0.02
peroxiredoxin (alkyl hydroperoxide reductase subunit C)-08,0.02,0.01,0.02
electron transfer flavoprotein beta subunit-08,0.04,0.04,0.02
5-(carboxyamino)imidazole ribonucleotide synthase [EC:6.3.4.18]-30,0.01,0.01,0.02
xanthine dehydrogenase small subunit [EC:1.17.1.4]-08,0.03,0.02,0.02
acetyl-CoA C-acetyltransferase [EC:2.3.1.9]-01,0.04,0.03,0.02
trigger factor-30,0.01,0.02,0.02
UDPglucose 6-dehydrogenase [EC:1.1.1.22]-30,0.01,0.02,0.02
cytochrome c oxidase subunit II [EC:1.9.3.1]-01,0.04,0.03,0.02
adenylosuccinate lyase [EC:4.3.2.2]-01,0.03,0.03,0.02
erythritol kinase [EC:2.7.1.27]-08,0,0.01,0.02
Na+-transporting NADH:ubiquinone oxidoreductase subunit C-08,0.02,0.01,0.02
thiosulfate sulfurtransferase [EC:2.8.1.1]-08,0.02,0.01,0.02
NAD-dependent deacetylase [EC:3.5.1.-]-08,0.01,0.01,0.02
peptide chain release factor RF-2-30,0,0.01,0.02
adenylosuccinate synthase [EC:6.3.4.4]-01,0.03,0.04,0.02
MFS transporter; NNP family; nitrate/nitrite transporter-08,0,0.01,0.02
putative ABC transport system ATP-binding protein-08,0.03,0.02,0.02
propionyl-CoA synthetase [EC:6.2.1.17]-01,0.03,0.04,0.02
magnesium transporter-01,0.03,0.03,0.02
arginine-tRNA-protein transferase [EC:2.3.2.8]-08,0.02,0.01,0.02
thiamine biosynthesis lipoprotein-08,0.02,0.01,0.02
aminopeptidase N [EC:3.4.11.2]-30,0.01,0.02,0.02
AMP nucleosidase [EC:3.2.2.4]-08,0.02,0.02,0.02
chromosome partitioning protein; ParB family-30,0.01,0.02,0.02
bifunctional enzyme CysN/CysC [EC:2.7.7.4 2.7.1.25]-08,0.02,0.01,0.02
cytochrome c oxidase subunit XV assembly protein-08,0.04,0.03,0.02
large subunit ribosomal protein L11-08,0.03,0.03,0.02
orotate phosphoribosyltransferase [EC:2.4.2.10]-08,0.03,0.03,0.02
soluble lytic murein transglycosylase [EC:3.2.1.-]-01,0.03,0.04,0.02
X-Pro aminopeptidase [EC:3.4.11.9]-01,0.04,0.04,0.02
GTP-binding protein HflX-30,0.01,0.02,0.02
apocytochrome f-30,0.01,0,0.02
3-isopropylmalate/(R)-2-methylmalate dehydratase small subunit-08,0.03,0.03,0.02
pyrroline-5-carboxylate reductase [EC:1.5.1.2]-08,0.04,0.03,0.02
seryl-tRNA synthetase [EC:6.1.1.11]-01,0.03,0.03,0.02
guanine deaminase [EC:3.5.4.3]-08,0.02,0.01,0.02
tryptophan synthase beta chain [EC:4.2.1.20]-01,0.03,0.04,0.02
peptide chain release factor RF-3-01,0.02,0.01,0.02
phosphoribosyl-AMP cyclohydrolase [EC:3.5.4.19]-08,0.02,0.01,0.02
glycyl-tRNA synthetase beta chain [EC:6.1.1.14]-01,0.04,0.04,0.02
3-isopropylmalate/(R)-2-methylmalate dehydratase large subunit-01,0.04,0.04,0.02
alcohol dehydrogenase [EC:1.1.1.1]-30,0.01,0.01,0.02
hydroxyatrazine ethylaminohydrolase [EC:3.5.99.3]-08,0.02,0.02,0.02
formate--tetrahydrofolate ligase [EC:6.3.4.3]-30,0.01,0.01,0.02
molybdenum cofactor biosynthesis protein B-08,0.02,0.01,0.02
ATP-dependent Clp protease ATP-binding subunit ClpX-01,0.04,0.04,0.02
aspartate racemase [EC:5.1.1.13]-08,0.02,0.01,0.02
transcription termination factor Rho-01,0.04,0.05,0.02
DNA-binding protein HU-beta-08,0.03,0.02,0.02
glucosamine-6-phosphate deaminase [EC:3.5.99.6]-08,0.01,0.02,0.02
adenine phosphoribosyltransferase [EC:2.4.2.7]-08,0.02,0.02,0.02
sucrose phosphorylase [EC:2.4.1.7]-08,0,0.01,0.02
methyl-accepting chemotaxis protein-08,0.01,0.02,0.02
aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]-30,0,0.01,0.02
4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]-08,0.02,0.01,0.02
formate dehydrogenase [EC:1.2.1.2]-08,0.02,0.01,0.02
histidyl-tRNA synthetase [EC:6.1.1.21]-01,0.04,0.04,0.02
MSHA biogenesis protein MshE-08,0.01,0.01,0.02
ribulose-phosphate 3-epimerase [EC:5.1.3.1]-08,0.04,0.05,0.02
sn-glycerol 3-phosphate transport system ATP-binding protein-08,0.02,0.01,0.02
topoisomerase IV subunit B [EC:5.99.1.-]-01,0.03,0.02,0.02
ATP-binding protein involved in chromosome partitioning-30,0.01,0.02,0.02
aspartyl aminopeptidase [EC:3.4.11.21]-08,0.01,0,0.02
DNA repair protein RecN (Recombination protein N)-01,0.02,0.01,0.02
GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]-01,0.04,0.04,0.02
protein phosphatase 2 (formerly 2A); regulatory subunit B-08,0.01,0.01,0.02
acetyl-CoA carboxylase; biotin carboxylase subunit [EC:6.4.1.2-01,0.04,0.03,0.02
E1A/CREB-binding protein [EC:2.3.1.48]-30,0.02,0.01,0.02
acetyl-CoA carboxylase / biotin carboxylase [EC:6.4.1.2 6.3.4.14]-08,0,0.01,0.02
adenylosuccinate lyase [EC:4.3.2.2]-30,0.01,0.02,0.02
peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]-30,0,0.01,0.02
phospho-N-acetylmuramoyl-pentapeptide-transferase [EC:2.7.8.13]-30,0,0.01,0.02
UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]-08,0.03,0.02,0.02
preprotein translocase subunit SecD-30,0.01,0.02,0.02
magnesium chelatase subunit H [EC:6.6.1.1]-30,0.02,0.01,0.02
beta-alanine--pyruvate transaminase [EC:2.6.1.18]-08,0.04,0.03,0.02
4-hydroxybenzoate octaprenyltransferase [EC:2.5.1.-]-08,0.04,0.03,0.02
glutamyl-tRNA synthetase [EC:6.1.1.17]-01,0.04,0.04,0.02
F-type H+-transporting ATPase subunit gamma [EC:3.6.3.14]-30,0.01,0.02,0.02
DNA polymerase bacteriophage-type [EC:2.7.7.7]-08,0.02,0.02,0.02
NAD+ kinase [EC:2.7.1.23]-30,0,0.01,0.02
orotidine-5'-phosphate decarboxylase [EC:4.1.1.23]-08,0.04,0.03,0.02
formate--tetrahydrofolate ligase [EC:6.3.4.3]-01,0.04,0.04,0.02
prephenate dehydratase [EC:4.2.1.51]-30,0.01,0.02,0.02
D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]-08,0.01,0.02,0.02
MFS transporter; UMF1 family-08,0.02,0.03,0.02
Lrp/AsnC family transcriptional regulator-08,0.02,0.01,0.02
NADH dehydrogenase I subunit L [EC:1.6.5.3]-30,0.01,0.01,0.02
recombination protein RecR-08,0.03,0.03,0.02
formyltetrahydrofolate deformylase [EC:3.5.1.10]-08,0.01,0.01,0.02
neurotransmitter:Na+ symporter; NSS family-08,0.03,0.03,0.02
3-deoxy-D-manno-octulosonic-acid transferase [EC:2.-.-.-]-30,0.01,0.01,0.02
acyl-[acyl-carrier-protein]-phospholipid O-acyltransferase /-08,0.01,0.01,0.02
MFS transporter; PAT family; beta-lactamase induction signal-30,0,0.01,0.02
lipid-A-disaccharide synthase [EC:2.4.1.182]-08,0.04,0.04,0.02
chemosensory pili system protein ChpA (sensor histidine-08,0.01,0.01,0.02
histidine transport system ATP-binding protein [EC:3.6.3.21]-08,0.01,0,0.02
fumarylacetoacetase [EC:3.7.1.2]-08,0.02,0.01,0.02
16S rRNA processing protein RimM-08,0.02,0.01,0.02
L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]-01,0.03,0.04,0.02
molybdopterin oxidoreductase; iron-sulfur binding subunit-08,0.03,0.02,0.02
thymidylate synthase [EC:2.1.1.45]-30,0,0.01,0.02
3-(3-hydroxy-phenyl)propionate hydroxylase [EC:1.14.13.-]-08,0.01,0.02,0.02
branched-chain amino acid aminotransferase [EC:2.6.1.42]-01,0.03,0.04,0.02
signal peptidase II [EC:3.4.23.36]-08,0.02,0.01,0.02
D-lactate dehydrogenase (cytochrome) [EC:1.1.2.4]-08,0.02,0.01,0.02
glutamate racemase [EC:5.1.1.3]-08,0.02,0.01,0.02
arginyl-tRNA synthetase [EC:6.1.1.19]-30,0.01,0.02,0.02
ribonuclease E [EC:3.1.26.12]-01,0.04,0.05,0.02
ribose 5-phosphate isomerase A [EC:5.3.1.6]-08,0.03,0.03,0.02
exoribonuclease II [EC:3.1.13.1]-08,0.01,0.01,0.02
isovaleryl-CoA dehydrogenase [EC:1.3.99.10]-08,0.03,0.02,0.02
isocitrate lyase [EC:4.1.3.1]-30,0.01,0.01,0.02
3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]-08,0.02,0.02,0.02
methylenetetrahydrofolate reductase (NADPH) [EC:1.5.1.20]-08,0.03,0.03,0.02
MSHA biogenesis protein MshG-08,0.01,0,0.02
sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]-08,0.02,0.01,0.02
fanconi anemia group M protein [EC:3.6.1.-]-08,0.01,0,0.02
carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]-30,0,0.01,0.02
glutaminyl-tRNA synthetase [EC:6.1.1.18]-01,0.02,0.01,0.02
CysQ protein-08,0.03,0.03,0.02
lipoprotein-releasing system permease protein-30,0.01,0.01,0.02
hydroxyacylglutathione hydrolase [EC:3.1.2.6]-08,0.03,0.03,0.02
transcription elongation factor GreA-08,0.03,0.03,0.02
elongation factor EF-P-08,0.04,0.03,0.02
pantoate--beta-alanine ligase [EC:6.3.2.1]-08,0.03,0.02,0.02
sialate O-acetylesterase [EC:3.1.1.53]-08,0.01,0.01,0.02
bacterioferritin-08,0.02,0.01,0.02
glutamine amidotransferase [EC:2.4.2.-]-08,0.03,0.03,0.02
flagellum-specific ATP synthase [EC:3.6.3.14]-08,0.02,0.02,0.02
threonine dehydratase [EC:4.3.1.19]-01,0.02,0.02,0.02
tenascin-08,0.01,0.01,0.02
ATP-dependent RNA helicase RhlE [EC:3.6.1.-]-01,0.02,0.01,0.02
protoheme IX farnesyltransferase [EC:2.5.1.-]-30,0.01,0.01,0.02
putative protease [EC:3.4.-.-]-08,0,0.01,0.02
NADH dehydrogenase I subunit G [EC:1.6.5.3]-01,0.03,0.04,0.02
LPS-assembly protein-01,0.04,0.04,0.02
trigger factor-01,0.03,0.04,0.02
phenylacetic acid degradation NADH oxidoreductase-08,0.02,0.01,0.02
D-amino-acid dehydrogenase [EC:1.4.99.1]-30,0,0.01,0.02
spermidine synthase [EC:2.5.1.16]-08,0.02,0.02,0.02
tyrosyl-tRNA synthetase [EC:6.1.1.1]-01,0.03,0.03,0.02
